Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
unspecified soil;Iodide;Emission to soil;22b18b15-712c-4475-a6a3-e245da9252b6;kg
unspecified soil;Propargite;Emission to soil;989b3caa-fe98-4a28-a094-af32d954946d;kg
unspecified soil;ESTRADIOL;Emission to soil;e458a6df-76d7-4cdf-803f-ad20f427a7a2;kg
unspecified soil;P-NONYLPHENOL;Emission to soil;129a9056-f3bb-4705-ab54-371c61f8954b;kg
unspecified soil;Carbon disulfide;Emission to soil;e542238e-9cd3-4842-97c8-105572e0a89b;kg
unspecified soil;ETHYL 2-HYDROXYBENZOATE;Emission to soil;caf66efb-920d-4ba5-a740-51827f31d0de;kg
agricultural;Thiophanat-methyl;Emission to soil;423112a9-b4c4-4041-8854-57bffde7b9cc;kg
industrial;1,4-DIOXANE;Emission to soil;6c35d814-cab3-4610-a8d9-b214f5790613;kg
unspecified soil;Ethanone, 1-(2,4-dichlorophenyl)-;Emission to soil;4f079972-3945-45d8-abb4-58b4ae843069;kg
agricultural;Dinitrotoluene, technical grade (2,4 (77%)- and 2,6 (19%)-);Emission to soil;7b2fb15d-d7d3-4ed1-b4f2-944e8a55313e;kg
unspecified soil;Chlordane;Emission to soil;218952d5-4742-4062-bd00-9a5518b08ede;kg
agricultural;Sodium chlorate;Emission to soil;1f7bf235-abae-49aa-b43e-128b7030322c;kg
industrial;Benzene, hexachloro-;Emission to soil;d1612599-79d2-45b8-8296-d02402b09933;kg
unspecified soil;Thallium compounds;Emission to soil;9885c571-9bde-4e3a-8a14-e94863da1687;kg
unspecified soil;Monocrotaline;Emission to soil;8e8a32cd-29cd-43c2-aa83-241b604fc673;kg
forestry;Benzo(a)pyrene;Emission to soil;44f5907f-f4d6-4d59-b3fb-d7248e3c6413;kg
forestry;4-AMINOBIPHENYL;Emission to soil;b71f4127-a973-4701-b731-e8e44778e50c;kg
industrial;benzidine;Emission to soil;ba27c86c-fff4-49b7-b001-59cf742575de;kg
industrial;Pentanaldehyde;Emission to soil;d5a44706-825b-4bcf-aae2-08f3476b4b78;kg
industrial;Prosulfocarb;Emission to soil;33315f99-4783-4501-8067-ce409261d196;kg
unspecified soil;TRICYCLO[3,3,1,1]DECANE;Emission to soil;f0a7b032-571c-4846-97b3-06e87b32981a;kg
agricultural;Phenol;Emission to soil;9462e458-4af9-4d37-b0ac-91c0bc31794c;kg
agricultural;Endosulfan;Emission to soil;69da88e0-7fb1-4223-bb2d-b6e86e2af891;kg
unspecified soil;2,6-DICHLOROBENZAMIDE;Emission to soil;07d48b95-5d8c-428d-a96e-9ab70319d191;kg
unspecified soil;BENSULTAP;Emission to soil;ee6c6c1c-ff94-4d00-98c7-f9e00193e104;kg
unspecified soil;Hydrogen-3, Tritium;Emission to soil;5b3d35e2-5e69-4a72-b715-227612f9731b;kBq
unspecified soil;Propiconazole;Emission to soil;7b63a22e-20b4-4374-ab3a-ceb697ea3808;kg
unspecified soil;Propamocarb;Emission to soil;a91edc4c-2444-43fb-8721-090032362f8a;kg
unspecified soil;Triclocarban;Emission to soil;9bae5d77-c095-47a2-bf9d-d2dde10bad4d;kg
agricultural;Ethyl acetate;Emission to soil;b586af9b-d97c-4e9e-ad03-12ec67c93ede;kg
industrial;Propamocarb HCl;Emission to soil;4d81649b-b038-4a3e-a6e1-78a1f0f392f1;kg
forestry;Azinphos-methyl;Emission to soil;a0b0f819-e59d-4b57-8477-e82c1a35b7f6;kg
agricultural;Copper (+II);Emission to soil;0604d026-05f1-4004-ae37-ace94b6478d0;kg
agricultural;Mefenpyr-diethyl;Emission to soil;f97ee737-45ca-4a19-bbf4-30746bfa6fb4;kg
unspecified soil;Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, diammonium salt;Emission to soil;ebfc0321-9f98-49fb-8716-d5382f7174a1;kg
unspecified soil;Octanohydroxamic Acid;Emission to soil;6f3a3f5c-da3a-4f90-a3cd-3d469ea6ef6f;kg
unspecified soil;Tebutam;Emission to soil;ff537f9a-8420-467c-af85-ef757ede3d51;kg
industrial;Mercury (+II);Emission to soil;5573c68c-894f-4371-849d-cbcd95d51885;kg
industrial;2-Butene, 1,4-dichloro-;Emission to soil;32254a08-6a27-4b6a-9195-c4976c4c3356;kg
agricultural;2-ethoxyethyl acetate;Emission to soil;3f8e59fe-c8ee-4d12-9743-aaa07d992410;kg
agricultural;Mandipropamid;Emission to soil;12e2fffe-08cd-451c-ad46-0b0a5db3c9ba;kg
unspecified soil;Tribufos;Emission to soil;8ad50cdb-e020-4322-ab27-33c90b4bfc65;kg
unspecified soil;Benzene, 1-methyl-4-(1-methylethyl)-;Emission to soil;1c1540c4-34b0-490f-b644-e4655e04855d;kg
unspecified soil;O-BROMONITROBENZENE;Emission to soil;4e002b2c-b205-4bc6-9952-bbc519a47259;kg
unspecified soil;Phosphine;Emission to soil;6872e75f-dc02-476b-837f-8fd7aa1adccf;kg
forestry;Benzene, pentachloro-;Emission to soil;e323c337-80f0-40e6-8a68-8fb23b3cf179;kg
unspecified soil;2,4-DINITROPHENOL;Emission to soil;0ddf67b9-84f7-47e8-bccb-d4a9b53e8241;kg
industrial;Fluoride;Emission to soil;a768b3a4-dce7-48f2-bb44-89c8a4ba00d1;kg
agricultural;Pyrene;Emission to soil;2fa7a912-a20f-44f9-90e9-8303b9ae2807;kg
unspecified soil;PHENYL 2-HYDROXYBENZOATE;Emission to soil;24aba528-974b-4d1d-a4da-ab1c665ff90a;kg
unspecified soil;3-Nitro-o-toluidine;Emission to soil;c83c5dcf-a732-43e5-97b3-c7b948930546;kg
unspecified soil;Ethane, 1,1-difluoro-, HFC-152a;Emission to soil;9a437703-ee1f-4149-8fd9-2f7d675fd43f;kg
industrial;Chrysene;Emission to soil;bf4e9c69-2977-4c34-9788-96fa1e6d1bf2;kg
unspecified soil;DIISOBUTYLAMINE;Emission to soil;78fd25e7-2ee4-4f8a-bee1-ec159ecd23aa;kg
industrial;Nicotine and salts;Emission to soil;d0a84b3d-c83c-4236-912b-608b4d7af02c;kg
unspecified soil;1,4-DIMETHYLCYCLOHEXANE;Emission to soil;0b82c3fa-9af5-4d85-a9bb-ce707a24ae2b;kg
unspecified soil;Fenoxycarb;Emission to soil;038f3bc0-0b9f-40d1-9e51-58c4d0b5558a;kg
industrial;Dimethipin;Emission to soil;b918dd8a-81a3-4df4-945a-7e44b7bf79bc;kg
unspecified soil;BENZOTHIAZOLE;Emission to soil;6c5f1779-29c5-45ca-bc88-a0ad4224eae5;kg
unspecified soil;3,5-DICHLOROANISOLE;Emission to soil;4f684252-16a0-4af9-9421-459dea8e00ec;kg
agricultural;Acifluorfen sodium salt;Emission to soil;46449a48-6be5-46d4-8baa-5b3848a6a565;kg
unspecified soil;2,3-DICHLOROPHENOL;Emission to soil;fa87a2ac-82cd-4b4c-9dda-d49018919467;kg
industrial;Phenanthrene;Emission to soil;fa3f7ddb-223b-471b-8c96-ab239e16004a;kg
forestry;Pronamide;Emission to soil;ee891f98-7fa1-4d4c-8f64-120342ea545f;kg
unspecified soil;1,2-dinitrobenzene;Emission to soil;70bf49e6-c9f9-467c-81bb-cd753c19aaca;kg
unspecified soil;2,4'-Dichloroacetophenone;Emission to soil;6f2a8666-8036-4a1e-b4ad-aca323a22bbd;kg
industrial;D-limonene;Emission to soil;edeed6d7-b41c-4edf-9cf7-7ff23a0ac932;kg
agricultural;Heat, waste;Emission to soil;7966394e-6a5b-4069-97a1-1b99f8b7bcb0;MJ
forestry;Paclobutrazol;Emission to soil;2d709705-5d55-45c4-a9b5-8a6f7628b5b2;kg
unspecified soil;2,3,6-TRIMETHYLPHENOL;Emission to soil;8aa069c2-8829-46bc-8651-5e5129b0568d;kg
industrial;Acephate;Emission to soil;26ba9b49-c8a7-4790-825b-4f3c2d188433;kg
unspecified soil;Sulfentrazone;Emission to soil;66578799-7ca6-4b10-960f-e64719aff309;kg
unspecified soil;Malathion;Emission to soil;fb2531a2-2a2d-4f9f-ac64-ec8a589a336c;kg
industrial;Cyclanilide;Emission to soil;f395c56e-86f3-4629-947a-404002a0a3d8;kg
agricultural;profam;Emission to soil;e23b01a0-7060-4125-8ad8-a2c5bc5b76cc;kg
forestry;Diisocyanates;Emission to soil;ac52a283-dfce-4f8b-92dc-9b3eb11ee56b;kg
unspecified soil;4-Vinylcyclohexene;Emission to soil;638445d3-bbfc-4a40-ae90-f03f011cf9d2;kg
forestry;Acetonitrile;Emission to soil;3ef9153c-baf8-4f5c-9b36-0cca37df014c;kg
agricultural;Azoxystrobin;Emission to soil;e69b028e-e549-4869-ae4a-b85ef8bcb7a9;kg
industrial;Ammonium, ion;Emission to soil;c39ed7da-4f98-40e5-877c-134b7dd44a9c;kg
unspecified soil;Imazamethabenz (isomer mix);Emission to soil;203ca806-4083-4630-8708-11a1cfdf5eae;kg
unspecified soil;Fluorochloridone;Emission to soil;45b90a3c-6908-44e4-a13b-9dbb12b1589d;kg
unspecified soil;ALPHA-METHYLBENZYL ALCOHOL;Emission to soil;5e39990f-3d89-4a48-8dea-b784f49ebac0;kg
agricultural;Chloridazon;Emission to soil;2e3da68d-e404-4377-bce9-b35244980811;kg
unspecified soil;Deltamethrin;Emission to soil;2cf0009a-e29c-4a5d-9a5c-1cdf5d77fc23;kg
industrial;Thiobencarb;Emission to soil;d13cb379-be43-4dda-b9b3-2ce4e1ebffc6;kg
agricultural;M-DINITROBENZENE;Emission to soil;fa1b4605-1e2c-43ac-9a47-a3b373b65566;kg
industrial;2,6-Dinitrotoluene;Emission to soil;aadcdc4d-b8dd-406b-93a2-3cf02a6d71af;kg
unspecified soil;Benzene, dichloro;Emission to soil;78b16adf-eb5e-4cdb-ae1b-d01c37ca9a53;kg
unspecified soil;N-HEXADECYLAMINE;Emission to soil;d81acbeb-ea1b-4b8b-9eb6-f82be11c98c6;kg
unspecified soil;Hexaconazole;Emission to soil;e693f9fd-0007-4767-ac87-a5267aecad16;kg
industrial;sodium dimethyldithiocarbamate;Emission to soil;4b48754c-2df1-49f6-93e6-90d6e24b8d92;kg
unspecified soil;TETRAHYDROFURFURYL ALCOHOL;Emission to soil;bd756570-eb65-4f48-b33c-52947611af1e;kg
forestry;2-METHOXYETHANOL;Emission to soil;967c86ed-d1b9-4e88-9633-9afefec51727;kg
unspecified soil;TRIS(1,3-DICHLOROISOPROPYL) PHOSPHATE;Emission to soil;ac205a09-8352-4ff6-b98d-00ba175e28fc;kg
unspecified soil;Piperazine, 2-methyl-;Emission to soil;b684997e-2dc3-490e-a916-930e31dc77fa;kg
industrial;Diquat;Emission to soil;7a0e30d2-20e0-4bbb-ac66-90645f55feff;kg
unspecified soil;TRICYCLAZOLE;Emission to soil;68557932-4738-43c3-a7b5-8c522b5c9039;kg
unspecified soil;Methoxychlor;Emission to soil;4643ff56-5fe1-41b9-8997-257ad416854e;kg
unspecified soil;AZACONAZOL;Emission to soil;0eb3619c-2c6f-4c9b-9692-43bdb46224e9;kg
unspecified soil;TRICHLOROPHENOL;Emission to soil;1b37f75c-8452-46e9-b021-3c9bfddbf1fe;kg
