categories;type;exchanges;name;unit;code;database
('air', 'non-urban air or from high stacks');emission;[];1-Pentene;kilogram;ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae;biosphere3
('air', 'low population density, long-term');emission;[];Butyrolactone;kilogram;f40d6828-f6de-43cd-9b93-e78813bdd140;biosphere3
('soil', 'forestry');emission;[];Iodide;kilogram;5de7f50d-dbd7-4e4c-afa5-b38ad93b4dec;biosphere3
('water', 'ground-');emission;[];Hydrogen peroxide;kilogram;9fea3fb1-f305-408d-8549-d008533800e3;biosphere3
('water', 'surface water');emission;[];1,4-Butanediol;kilogram;d6911d36-3fec-41fe-8ef9-540f6543a240;biosphere3
('soil', 'agricultural');emission;[];Propachlor;kilogram;0a0a8657-0cc0-4132-a31b-cb4b0a0f3f3a;biosphere3
('air',);emission;[];Methane, non-fossil;kilogram;da1157e2-7593-4dfd-80dd-a3449b37a4d8;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Particulates, < 2.5 um;kilogram;ddd99a3a-be86-423d-b36a-a9dc8af1b1f8;biosphere3
('water', 'ground-');emission;[];Dicamba;kilogram;e555f589-ec29-468d-a35d-346dc45cdd84;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Thifensulfuron;kilogram;98fc8cad-e186-4353-8ffb-92ddae8cc685;biosphere3
('air', 'urban air close to ground');emission;[];Cyanide;kilogram;921df5eb-cde6-40ea-8744-c02746db0a3c;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Methane, chlorodifluoro-, HCFC-22;kilogram;26991da1-c263-4707-9f85-78685acc94dc;biosphere3
('air',);emission;[];Plutonium-238;kilo Becquerel;336fca6f-2dc9-4514-96ae-2a2af154c74e;biosphere3
